iStep,time,X,Y,Z,Vx,Vy,Vz,Rx,Ry,Rz,Fx,Fy,Fz,Mx,My,Mz,Fcpx,Fcpy,Fcpz,Tcpx,Tcpy,Tcpz,SumUx,SumUy,SumUz,SumTx,SumTy,SumTz
110,0.0275,4,2,4,0,0,0,0,0,0,-270.832,-106.242,-231.711,-90.4636,-152.105,164.449,0,0,0,0,0,0,-48.8079,-3.68363,34.3258,24.8881,13.5354,37.6287
111,0.02775,4,2,4,0,0,0,0,0,0,-269.98,-106.607,-231.694,-90.1617,-152.802,164.411,0,0,0,0,0,0,-48.7855,-3.67913,34.4199,24.9218,13.7417,37.5668
112,0.028,4,2,4,0,0,0,0,0,0,-269.142,-107.037,-231.827,-89.9614,-153.617,164.449,0,0,0,0,0,0,-48.7377,-3.6247,34.5135,25.0117,13.9479,37.4877
113,0.02825,4,2,4,0,0,0,0,0,0,-268.348,-107.427,-231.836,-89.6447,-154.366,164.502,0,0,0,0,0,0,-48.7057,-3.60143,34.5285,25.0268,14.1008,37.4434
114,0.0285,4,2,4,0,0,0,0,0,0,-267.56,-107.788,-231.767,-89.2651,-155.055,164.529,0,0,0,0,0,0,-48.6376,-3.64144,34.4041,24.8806,14.1602,37.3934
115,0.02875,4,2,4,0,0,0,0,0,0,-266.773,-108.098,-231.62,-88.8502,-155.677,164.51,0,0,0,0,0,0,-48.5736,-3.73004,34.2491,24.7228,14.217,37.3912
116,0.029,4,2,4,0,0,0,0,0,0,-265.963,-108.442,-231.495,-88.4485,-156.305,164.487,0,0,0,0,0,0,-48.5911,-3.71334,34.2344,24.6556,14.3518,37.3559
117,0.02925,4,2,4,0,0,0,0,0,0,-265.142,-108.807,-231.377,-88.0644,-156.941,164.483,0,0,0,0,0,0,-48.5509,-3.66199,34.2816,24.6641,14.5439,37.2586
118,0.0295,4,2,4,0,0,0,0,0,0,-264.309,-109.186,-231.311,-87.7386,-157.624,164.487,0,0,0,0,0,0,-48.52,-3.63084,34.3843,24.7181,14.759,37.1712
119,0.02975,4,2,4,0,0,0,0,0,0,-263.468,-109.574,-231.34,-87.4583,-158.388,164.508,0,0,0,0,0,0,-48.5361,-3.68194,34.4343,24.7528,14.9159,37.2097
120,0.03,4,2,4,0,0,0,0,0,0,-262.646,-109.904,-231.278,-87.0921,-159.082,164.495,0,0,0,0,0,0,-48.526,-3.70994,34.3741,24.6763,15.0105,37.202
121,0.03025,4,2,4,0,0,0,0,0,0,-261.837,-110.211,-231.173,-86.6766,-159.74,164.467,0,0,0,0,0,0,-48.4784,-3.74133,34.2374,24.5393,15.066,37.1745
122,0.0305,4,2,4,0,0,0,0,0,0,-261.02,-110.52,-230.983,-86.2216,-160.326,164.423,0,0,0,0,0,0,-48.371,-3.72522,34.11,24.4093,15.145,37.0505
123,0.03075,4,2,4,0,0,0,0,0,0,-260.243,-110.898,-230.839,-85.7804,-160.943,164.472,0,0,0,0,0,0,-48.3671,-3.70272,34.2064,24.4527,15.3616,36.99
124,0.031,4,2,4,0,0,0,0,0,0,-259.449,-111.276,-230.721,-85.3713,-161.586,164.516,0,0,0,0,0,0,-48.3826,-3.71795,34.252,24.464,15.5416,37.0003
125,0.03125,4,2,4,0,0,0,0,0,0,-258.613,-111.613,-230.622,-84.9887,-162.253,164.501,0,0,0,0,0,0,-48.3833,-3.7267,34.2706,24.4293,15.6954,36.9874
126,0.0315,4,2,4,0,0,0,0,0,0,-257.763,-111.936,-230.585,-84.6737,-162.971,164.467,0,0,0,0,0,0,-48.3752,-3.75029,34.268,24.391,15.8137,36.9699
127,0.03175,4,2,4,0,0,0,0,0,0,-256.942,-112.226,-230.456,-84.256,-163.617,164.431,0,0,0,0,0,0,-48.3437,-3.77738,34.1862,24.3144,15.8977,36.9646
128,0.032,4,2,4,0,0,0,0,0,0,-256.126,-112.544,-230.277,-83.8174,-164.206,164.412,0,0,0,0,0,0,-48.2265,-3.74272,34.0962,24.1908,15.9828,36.8014
129,0.03225,4,2,4,0,0,0,0,0,0,-255.325,-112.902,-230.072,-83.3639,-164.778,164.454,0,0,0,0,0,0,-48.2044,-3.79009,34.0672,24.1403,16.1102,36.7768
130,0.0325,4,2,4,0,0,0,0,0,0,-254.562,-113.276,-229.889,-82.8947,-165.372,164.549,0,0,0,0,0,0,-48.2478,-3.84544,34.1199,24.1655,16.2964,36.837
131,0.03275,4,2,4,0,0,0,0,0,0,-253.778,-113.577,-229.709,-82.4291,-165.974,164.561,0,0,0,0,0,0,-48.2307,-3.81514,34.1919,24.2057,16.4972,36.7611
132,0.033,4,2,4,0,0,0,0,0,0,-252.925,-113.874,-229.653,-82.09,-166.677,164.502,0,0,0,0,0,0,-48.1844,-3.82696,34.2473,24.2411,16.7015,36.6978
133,0.03325,4,2,4,0,0,0,0,0,0,-252.071,-114.161,-229.606,-81.7706,-167.379,164.435,0,0,0,0,0,0,-48.1635,-3.76705,34.2246,24.165,16.8172,36.5944
134,0.0335,4,2,4,0,0,0,0,0,0,-251.245,-114.463,-229.457,-81.3559,-167.996,164.42,0,0,0,0,0,0,-48.092,-3.75126,34.0758,23.9701,16.8362,36.4603
135,0.03375,4,2,4,0,0,0,0,0,0,-250.459,-114.787,-229.21,-80.8877,-168.534,164.458,0,0,0,0,0,0,-48.0623,-3.8071,34.0142,23.8836,16.9318,36.4474
